name,price,search Date,price numeric,company,product type,area
"Revestimento ""A"" 45x120 Branco Freccia Matte Retificado 206033E Portobello","R$ 163,69 m² à vista",2026-02-18,163.69,Portobello,Mate,45x120
"Revestimento ""A"" 45x120 Branco Graffi Matte Retificado 206026E Portobello","R$ 203,90 m² à vista",2026-02-18,203.9,Portobello,Mate,45x120
"Revestimento ""A"" 45x120 V Stone Off White Graffi Matte Retificado 206024E Portobello","R$ 247,90 m² à vista",2026-02-18,247.9,Portobello,Mate,45x120
"Revestimento ""A"" 45x120 Zefiro Freccia Matte Retificado 206028E Portobello","R$ 209,63 m² à vista",2026-02-18,209.63,Portobello,Mate,45x120
"Revestimento ""A"" 45x120 Canela Dourada Ripa Matte Retificado 207109E Portobello","R$ 190,21 m² à vista",2026-02-18,190.21,Portobello,Mate,45x120
"Revestimento ""A"" 45x120 Oasi Roccia Ripa Matte Retificado 206712E Portobello","R$ 186,75 m² à vista",2026-02-18,186.75,Portobello,Mate,45x120
"Revestimento ""A"" 45x120 Oasi Duna Ripa Matte Retificado 206618E Portobello","R$ 187,75 m² à vista",2026-02-18,187.75,Portobello,Mate,45x120
"Porcelanato Externo Eliane Cite Ita Ardosia Carbono ""A"" 90x90cm","R$ 116,71 m² à vista",2026-02-18,116.71,Eliane,Externo,90x90
"Porcelanato Externo Portobello Space Grey ""A"" 80x80cm Retificado","R$ 89,90 m² à vista",2026-02-18,89.9,Portobello,Externo,80x80
"Porcelanato Natural Eliane Stelar White ""A"" 60x120cm","R$ 209,74 m² à vista",2026-02-18,209.74,Eliane,Natural,60x120
"Porcelanato Mate Eliane Bosco Mel ""A"" 19,7x120cm","R$ 94,51 m² à vista",2026-02-18,94.51,Eliane,Mate,19.7x120
Porcelanato Polido Eliane Onix Cristal 90x90,"R$ 118,81 m² à vista",2026-02-18,118.81,Eliane,Polido,90x90
"Porcelanato Acetinado Eliane Iseo Grigio ""A"" 90x90cm","R$ 132,90 m² à vista",2026-02-18,132.9,Eliane,Acetinado,90x90
"Porcelanato Hard Portinari York Be ""A"" 87,7x87,7cm","R$ 85,48 m² à vista",2026-02-18,85.48,Portinari,Hard,87.7x87.7
"Revestimento Matt Portobello Wall Mosaic Decor Ris Ripado ""A"" 30x90","R$ 137,73 m² à vista",2026-02-18,137.73,Portobello,Desconhecido,30x90
"Porcelanato Portinari Peroba HD ""A"" 20x120 Retificado","R$ 91,88 m² à vista",2026-02-18,91.88,Portinari,Desconhecido,20x120
"Porcelanato Natural Portinari Distrito WH ""A"" 80x80cm","R$ 94,90 m² à vista",2026-02-18,94.9,Portinari,Natural,80x80
"Porcelanato Hard Portinari Distrito SGR ""A"" 80x80cm Retificado","R$ 104,90 m² à vista",2026-02-18,104.9,Portinari,Hard,80x80
"Revestimento Natural Portobello Brit Frost ""A"" 6,5x23 Bold","R$ 313,10 m² à vista",2026-02-18,313.1,Portobello,Natural,6.5x23
"Porcelanato Externo Portobello Parquet D Olivier ""A"" 20x120cm Retificado","R$ 119,90 m² à vista",2026-02-18,119.9,Portobello,Externo,20x120
"Porcelanato Matte Portinari Alameda Be Matte ""A"" 19x117 Retificado","R$ 121,69 m² à vista",2026-02-18,121.69,Portinari,Mate,19x117
"Porcelanato Polido Eliane Marmo Gris ""A"" 80x160 Retificado","R$ 188,45 m² à vista",2026-02-18,188.45,Eliane,Polido,80x160
"Revestimento Brilhante Eliane Forma Slim Branco ""A"" 32x60cm Retificado","R$ 56,90 m² à vista",2026-02-18,56.9,Eliane,Brilhante,32x60
"Porcelanato Acetinado Portinari Carvalho Hd ""A"" 19x117cm Retificado","R$ 94,03 m² à vista",2026-02-18,94.03,Portinari,Acetinado,19x117
"Porcelanato Natural Portobello Parquet D Olivier ""A"" 20x120cm Retificado","R$ 99,90 m² à vista",2026-02-18,99.9,Portobello,Natural,20x120
"Porcelanato Hard Portinari Serena Hd Gr Hard ""A"" 58,4x117cm Retificado","R$ 105,10 m² à vista",2026-02-18,105.1,Portinari,Hard,58.4x117
"Porcelanato Externo Portobello Malibu Mountain Externo ""A"" 20x20 Bold","R$ 256,09 m² à vista",2026-02-18,256.09,Portobello,Externo,20x20
"Porcelanato Acetinado Eliane Munari Marfim ""A"" 90x90cm Retificado","R$ 83,29 m² à vista",2026-02-18,83.29,Eliane,Acetinado,90x90
"Porcelanato Polido Eliane Bianco Oro ""A"" 80x160","R$ 174,71 m² à vista",2026-02-18,174.71,Eliane,Polido,80x160
"Porcelanato Natural Portobello Nord Ris Natural ""A"" 120x120cm Retificado","R$ 119,72 m² à vista",2026-02-18,119.72,Portobello,Natural,120x120
"Porcelanato Natural Portinari Tavola Decor Mix ""A"" 58,4x58,4cm","R$ 144,30 m² à vista",2026-02-18,144.3,Portinari,Natural,58.4x58.4
"Porcelanato Matte Portinari Simetria Marble WH ""A"" 58,4x58,4 Retificado","R$ 154,02 m² à vista",2026-02-18,154.02,Portinari,Mate,58.4x58.4
"Porcelanato Matte/Lux Portinari Simetria Stone Mix MLX ""A"" 60x60","R$ 192,90 m² à vista",2026-02-18,192.9,Portinari,Mate,60x60
"Porcelanato Natural Portobello Canela Dourada ""A"" 20x120cm Retificado","R$ 109,90 m² à vista",2026-02-18,109.9,Portobello,Natural,20x120
"Porcelanato Natural Portinari Onice Al ""A"" 58,4x117cm Retificado","R$ 107,47 m² à vista",2026-02-18,107.47,Portinari,Natural,58.4x117
"Porcelanato Polido Portinari Opera Covelano ""A"" 87,7x87,7","R$ 157,16 m² à vista",2026-02-18,157.16,Portinari,Polido,87.7x87.7
"Revestimento Mate Portobello Kings Road ""A"" 6,5x23","R$ 262,72 m² à vista",2026-02-18,262.72,Portobello,Mate,6.5x23
"Porcelanato Polido Portinari Opera WH ""A"" 87,7x87,7","R$ 138,74 m² à vista",2026-02-18,138.74,Portinari,Polido,87.7x87.7
"Porcelanato Natural Portinari Opera WH ""A"" 87,7x87,7cm","R$ 117,07 m² à vista",2026-02-18,117.07,Portinari,Natural,87.7x87.7
"Porcelanato Natural Portinari Opera Covelano ""A"" 58,4x117","R$ 123,07 m² à vista",2026-02-18,123.07,Portinari,Natural,58.4x117
"Porcelanato Polido Eliane Stelar Black ""A"" 60x120 Retificado","R$ 313,90 m² à vista",2026-02-18,313.9,Eliane,Polido,60x120
"Revestimento ""A"" 45x120 Cape Cod Breeze Meia Cana Mate Ret 210490E Portobello","R$ 200,07 m² à vista",2026-02-18,200.07,Portobello,Mate,45x120
"Revestimento Mate Portobello Vivant Vert ""A"" 7x24,4cm","R$ 505,91 m² à vista",2026-02-18,505.91,Portobello,Mate,7x24.4
"Revestimento Mate Portobello Vivant Sauge ""A"" 7x24,4cm","R$ 556,24 m² à vista",2026-02-18,556.24,Portobello,Mate,7x24.4
"Revestimento Brilhante Portobello Vivant Blanc ""A"" 7x24,4cm","R$ 484,35 m² à vista",2026-02-18,484.35,Portobello,Brilhante,7x24.4
"Revestimento ""A"" 45x120 Almond Graffi Matte Retificado 207180E Portobello","R$ 197,06 m² à vista",2026-02-18,197.06,Portobello,Mate,45x120
"Porcelanato Mate Eliane Carvalho Camel ""A"" 19,7x120cm","R$ 100,43 m² à vista",2026-02-18,100.43,Eliane,Mate,19.7x120
"Porcelanato Matte Portinari Love Hexa Wh MLX ""A"" 17,5x17,5cm","R$ 980,38 m² à vista",2026-02-18,980.38,Portinari,Mate,17.5x17.5
"Porcelanato Externo Portobello Malibu Lake ""A"" 20x20cm","R$ 270,16 m² à vista",2026-02-18,270.16,Portobello,Externo,20x20
"Revestimento Brilhante Portobello Gap White ""A"" 30x60 Retificado","R$ 107,90 m² à vista",2026-02-18,107.9,Portobello,Brilhante,30x60
"Revestimento Matt Portobello Clapboard Parquet D Olivier ""A"" 30x90 Retificado","R$ 136,92 m² à vista",2026-02-18,136.92,Portobello,Desconhecido,30x90
"Revestimento Mate Portobello Westminster ""A"" 6,5x23","R$ 245,89 m² à vista",2026-02-18,245.89,Portobello,Mate,6.5x23
